Unnamed: 0,brand_name,rating,number_of_reviews,price
247,Titan,4.4,315000.0,"3,396"
248,WRIGHTRACK,4.3,91000.0,799
249,TIMEX,4.2,100000.0,"3,598"
250,Fastrack,4.3,2300.0,"3,426"
251,Fastrack,4.0,56000.0,"2,194"
252,Titan,4.2,77000.0,"8,021"
253,Fastrack,4.3,125000.0,895
254,SELLORIA,3.8,1700.0,169
255,Titan,4.1,155000.0,"2,848"
256,Titan,4.0,747000.0,"2,092"
257,Matrix,3.7,1800.0,248
258,Matrix,3.9,663000.0,234
259,Fossil,4.1,146000.0,"11,197"
260,Casio,4.4,980000.0,"1,802"
261,SWADESI STUFF,4.2,491000.0,549
262,NIBOSI,3.8,1500.0,"3,700"
263,LORENZ,4.1,371000.0,435
264,Casio,4.5,4600.0,"2,995"
265,Casio,4.5,603000.0,"8,994"
266,Sylvi,3.9,2800.0,"1,489"
267,Titan,4.3,48000.0,"4,795"
268,Titan,4.1,58000.0,"5,035"
269,Fastrack,4.3,297000.0,"3,196"
270,Casio,4.1,320000.0,"1,995"
271,Fastrack,4.3,253000.0,"4,235"
272,BENYAR,3.9,297000.0,"4,075"
273,Fossil,4.2,4500.0,"7,994"
274,Acnos,3.7,188000.0,415
275,TIMEX,4.5,42000.0,"4,196"
276,HORIZEN,4.2,74000.0,"2,990"
277,TIMEX,4.1,282000.0,"5,197"
278,Casio,4.3,175000.0,"12,995"
279,Giordano,4.0,149000.0,"5,299"
280,Fossil,4.4,1500.0,"12,495"
281,LOUIS DEVIN,3.7,909000.0,299
282,Emporio Armani,4.1,157000.0,"9,198"
283,Sonata,4.3,1900.0,998
284,The Watch Company,4.6,7000.0,
285,Fossil,4.6,5000.0,"13,155"
286,Fossil,4.2,925000.0,"9,494"
287,Casio,4.4,752000.0,"15,996"
288,Casio,4.3,210000.0,"8,796"
289,Titan,4.3,382000.0,"4,435"
290,Fastrack,4.2,160000.0,"1,835"
291,Sonata,4.1,1100.0,"3,248"
292,Titan,4.4,110000.0,"12,523"
293,Titan,4.3,282000.0,"5,035"
294,Titan,4.6,112000.0,"2,683"
295,Casio,4.6,66000.0,"5,994"
296,TIMEX,4.3,5100.0,"4,155"
297,Casio,4.4,95000.0,"13,596"
298,Titan,4.2,2200.0,"2,327"
299,Casio,4.4,150000.0,"9,596"
300,V2A,4.1,848000.0,940
301,Titan,4.5,167000.0,"5,946"
302,French Connection,4.5,34000.0,"5,465"
303,Titan,4.5,33000.0,"17,995"
304,Titan,3.9,82000.0,"15,996"
305,Casio,4.5,48000.0,"8,994"
306,Titan,4.2,52000.0,"26,725"
307,Casio,4.3,429000.0,"19,994"
308,Sonata,4.3,2000.0,649
309,OLEVS,4.2,397000.0,"7,980"
310,LOUIS DEVIN,4.0,162000.0,462
311,OLEVS,3.9,630000.0,"1,999"
312,Titan,4.1,1800.0,"2,695"
313,Carlington,3.9,312000.0,948
314,Casio,4.6,179000.0,"24,796"
315,Titan,4.2,851000.0,"2,780"
316,TIMEX,4.1,191000.0,"2,997"
